Sentiment,Review
Neg,1992 bought new tauru realli love 1999 decid tri new tauru care style newer version bought anyway like new car half much like one thee dash much deep take lot room find seat comfort way side stick strip protect card dent drive nice ha good pick see hood driver seat judg park difficult ha veri small ga tank would buy tauru would rather 1992 back dont think style nice 1992 wa mistak chang style le month dead batteri flat tire
Neg,last busi trip drove san francisco went hertz rental got 1999 ford tauru think look comfort profession found seat uncomfort well passeng seat comfort may import fuel usag wa fine car get u problem wa uncomfort ride u though hard fit car 5 5 weigh 115 pound usual quit comfort ani car tauru seem especi uncomfort anyon think rent car long trip would suggest ford tauru 1999 list sure get thi wa larg trunk allow u pack lot materi need busi end trip drive wa breez everyth work right complaint standard make car demur comfort area import comfort long trip uncomfort driver distract made trip seem unnecessarili longer felt make thi trip lot saturn would better choic rent thi model quit often offer comfort tauru simpli doe plan long trip buy car intend comfort seat check tauru longer trial basi might anoth car may find thing happen comfort
Neg,husband purchas 1990 ford f250 noth problem vehicl approxim two year ha spent least half time shop first problem wa valv cover leak thi problem took three day shop went pick found mechan dealership replac part take thi took addit week becaus poor design fix thi vehicl wa found cheap could ani mechan work next within one week serpentin belt came pulley shear air condit power plug thi also took nearli week fix caus thi problem wa unknown next clean air pump broke within week thi took four day fix pick truck air pump didnt realiz time mechan hook back hose transmiss drive three day transmiss need rebuilt due unavail part new transmiss replac old wa mate junk yard transfer case thi repair took 5 day truck vibrat 70 mile hour spent 1700 new front end tire balanc etc thi help situat within two week serpentin belt wa replac second time sinc bought vehicl truck 98 000 mile took expect problem dont get wrong newer vehicl said 200 000 mile motor notic larg loss power said repair began costli fix diagnost find caus power loss ga mileag thi point 10mpg never increas belt replac continu till present date belt everi month truck went shop transmiss leak ford dealership problem found mount onc unavail discontinu part thi even close problem think ive said enough
Neg,feel thorough opinion thi truck compar post evalu vehicl truck ha sinc new current 75k mile ive meticul mainten treat truck normal duti activ never exceed manufactur recommend thi inform regard vehicl excess total problem found dure inspect 15 sept 2003 refer anyon el ha problem look inform regard warranti extend warranti welcom give feedback vehicl 2000 ford f150 5 4l 4x4 xlt w road tow packag 17 rim everyth factori instal top option includ extend warranti purchas ford version 75k mile bumper bumper coverag new 50 deduct per drive occurr drive condit never taken road never tow anyth signific weight never use inappropri toward last 400 mile 75k mile ford purchas extend warranti bumper bumper plan passeng side power door lock fail ab light turn brought dealer inspect along squeek front end thought wa tire rim leak problem found 1 4 tie rod inner outer bad 2 lower ball joint bad 3 ab code c1095 c1096 ecu hcu control modul assembl bad 4 passeng side door lock actuat bad 5 power steer pump bad air condit warranti replac back 30k mile item abov replac purchas extend warranti bumber bumber plan except kit modul assembl ab disput today pay get done shock thi much damag wa found vehicl onli 75k mile proclaim built ford tough yet onli offer 36k mile manufactur warranti extend warranti could onli guess bill pay thi extend cab seat extrem cramp friend refus passeng back rear bench seat hard veri uncomfort gener motor seem veri comfort roomi seat compar model ignit hidden difficult find stereo second class sound tune station especi factori instal tire signific grip traction 10 000 mile recommend get spray liner help prevent larg dent scratch happen truck truck spray metal cant hold appear thin bed like exterior look f150 height fantast see around drive certainli upset small vehicl driver behind tailgat assum im slow road hog left lane tri pas see road jam full car front bumper bumper acceler tow torqu veri good although sen loss hesit occas suddenli put petal medal avoid accid expect pay valu truck mainten cost dealer make money repair mainten veri expens im complain thi buy expens truck expect pay mainten
Neg,mother 3 still carseat onli logic thing wa trade 200sx minivan minivan onli one hand vehicl room famili requir addit bought new one mechan difficulti would minimum love fact van seat mani peopl never worri bring 2 car even kid van seat ad passeng doe roomi way well like way windstar handl ha great acceler like fact abl see way infront drive featur almost alway indic van least hate fact thi vehicl ha broken 4 meter leav child strand side road time brought back dealer said fix diagnosi wa differ engin light continu go thi day thi make difficult imposs feel safe windstar thank husband quit mechan windstar handl well easi steer control much like drive car van steer difficult suspens windstar leav someth desir privledg feel everi bump brake sound yet fail squeak severli peopl buy thi vehicl alot child need transport alot thing anyon enjoy sport car fast vehicl avoid thi car
Neg,ford winstar car would recommend purchas driven thi van sever time cant get use handl horribl sway feel actual feel like car go tip turn side passeng window creat blind spot think danger side window meet windshield think problem brake also feel like driver doesnt control car difficult prison term stop quick thi car doesnt stop effici doesnt handl well also doesnt provid driver veri good frame vision passeng side feel thi safeti hazard onli driver passeng also everyon el road recommend
Neg,bought thi van 1999 rental sinc birth initi love Evergreen State everyth dream wa plenti room 7 rode extrem nice even veri back heard noth good thi van safeti rate ea drive etc wa gl model rear heat air stereo control front seat bucket two back bench everyth wa wonder around 70 000 mile transmiss went thing seem roll downhil replac tranni week later interior slide door fell constant problem ignit switch wa alway ding whether key light whatev interior light stay time well door ajar light wa alway matter wa done ensur door close lie time thi van even start key werent even ga mileag wa onli 17 18 mpg air condit would liter run got cold never ani problem air heat rode veri nice drove veri nice id say defin wasnt worth money paid wa headach wa worth
Neg,bought focu wagon cargo space great camp hardwar store ride smooth quiet handl quit well ha solid feel compar lancer wish ga mileag littl better doe nice featur like adjust seat belt height front seat big door pocket seat warmer windshield wiper still best market biggest problem leak terribl back plan take get fix clean trunk carpet twice bleach solut kill mold mildew ha set issu vent allow much engin heat summertim thi bummer expect cool air spring fall come sun visor almost useless go way forward sag low block much road went ford escort wagon thi car focu feel like luxuri railway car compar escort give thi car chanc leak fix look anoth car
Neg,probabl heard giant 2000 ford excurs sport util vehicl carri signific price tag relat size accord safeti expert spot excurs road pull asphalt wet pant fear hide gutter avoid ani chanc make contact machin big feast coup snack sedan entre excurs isnt util vehicl meant haul larg famili larg thing smaller vehicl cant onli 50 000 built first year excurs strong point huge size also draw critic took 310 horsepow v 10 maneuv 19 foot excurs wind road minim strain sure base 5 4 liter 255 h p would fare well ford estim 5 4 liter deliv 10 11 mpg citi highway 6 8 liter 15 16 mpg 7 3 liter turbo diesel 17 18 mpg boat attach v 10 perform admir whi excurs exist provid need tow big heavi thing big heavi vehicl onc boat wa unhook v 10 manag twisti hilli road without come air even without boat excurs isnt go run light suspens ha tendenc firm ha adjust prevent bone jar movement uneven pavement handl surprisingli pleasant steer offer low effort movement balanc size weight without loo dont feel control dont expect take tight corner ea would say explor turn radiu well let say need three four lane u turn excurs come four wheel anti lock disk brake even normal brake sure appli pedal earlier account size complain excurs big probabl owner tini vehicl frighten excurs test drive excurs never grab anoth vehicl slung path back standard trailer hitch associ hardwar wa design sit low keep vehicl submarin excurs rear end impact excurs garag garag least 20 foot deep door least 7 foot high insid excurs ha three row seat handl eight passeng nine decid go front bench seat rather massiv center section write top 4 cup holder front rear passeng enough room insid tape cd coin holder plu option six cd changer entri third seat easi press handl second seat back lower bottom slide forward wide open entri exit back howev onc third row directli rear axl put touch road harsh featur includ full size spare insid along side wall still allow decent amount room fold second third seat increas cargo capac third seat roller remov fold back second seat cargo room contain ton room behind third seat luggag golf club without remov goodi includ 10 cup holder 5 power plug 4 coat hook second third row read lamp rear cabin audio control dual headphon jack overhead consol garag door open eyeglass holder despit excel glass hatch visibl one glare problem back excurs stand tall lost sight bmw z 3 pull behind light mean object pet kid even smaller wont seen back driveway ford offer sonar revers sen system windstar mini van beep warn object back alreadi offer excurs hope soon kid might want wait dual air bag standard belt minder sound chime everi 30 second remind buckl excurs offer start price 33 460 2wd 36 775 4wd
Neg,thought gmc chevrolet suburban wa big wait till see 2000 ford excurs thi vehicl dwarf even biggest suv race biggest baddest suv ford take cake outsid vehicl close resembl ford f350 front grill plenti chrome make glitzi enough big step height high even tall individu take quit effort get tailgat gigant two door swing wide side onc insid lucki get insid notic abund space much smaller suburban comfort dodg caravan nice insid opinion limit version ha leather wood interior seat nine although car outfit seven eight peopl comfort enough space even way back vehicl power enough pas effect highway compar suburban accler handl handl terribl truck truck disguis suv hard maneuv turn radiu horribl market vehicl lot room wheel drive handl snow much better choic excurs dodg caravan wheel drive better wallet better price much better ga mileag
